id_credito;tipo_error;detalle
6536;"Error API S2";"Respuesta sin estadoCuenta"
8279;"Error API S2";"Respuesta sin estadoCuenta"
89108;"Error API S2";"Respuesta sin estadoCuenta"
139009;"Error API S2";"Respuesta sin estadoCuenta"
148351;"Error API S2";"Respuesta sin estadoCuenta"
215151;"Error API S2";"Respuesta sin estadoCuenta"
221836;"Error API S2";"Respuesta sin estadoCuenta"
224667;"Error API S2";"Respuesta sin estadoCuenta"
242805;"Error API S2";"Respuesta sin estadoCuenta"
272736;"Error API S2";"Respuesta sin estadoCuenta"
276547;"Error API S2";"Respuesta sin estadoCuenta"
282045;"Error API S2";"Respuesta sin estadoCuenta"
312671;"Error API S2";"Respuesta sin estadoCuenta"
313403;"Error API S2";"Respuesta sin estadoCuenta"
329529;"Error API S2";"Respuesta sin estadoCuenta"
345539;"Error API S2";"Respuesta sin estadoCuenta"
350136;"Error API S2";"Respuesta sin estadoCuenta"
371851;"Error API S2";"Respuesta sin estadoCuenta"
383106;"Error API S2";"Respuesta sin estadoCuenta"
399790;"Error API S2";"Respuesta sin estadoCuenta"
408284;"Error API S2";"Respuesta sin estadoCuenta"
417691;"Error API S2";"Respuesta sin estadoCuenta"
428044;"Error API S2";"Respuesta sin estadoCuenta"
437884;"Error API S2";"Respuesta sin estadoCuenta"
446574;"Error API S2";"Respuesta sin estadoCuenta"
453759;"Error API S2";"Respuesta sin estadoCuenta"
462209;"Error API S2";"Respuesta sin estadoCuenta"
463036;"Error API S2";"Respuesta sin estadoCuenta"
465170;"Error API S2";"Respuesta sin estadoCuenta"
477759;"Error API S2";"Respuesta sin estadoCuenta"
486913;"Error API S2";"Respuesta sin estadoCuenta"
487566;"Error API S2";"Respuesta sin estadoCuenta"
492702;"Error API S2";"Respuesta sin estadoCuenta"
494922;"Error API S2";"Respuesta sin estadoCuenta"
495267;"Error API S2";"Respuesta sin estadoCuenta"
502179;"Error API S2";"Respuesta sin estadoCuenta"
502436;"Error API S2";"Respuesta sin estadoCuenta"
509217;"Error API S2";"Respuesta sin estadoCuenta"
509908;"Error API S2";"Respuesta sin estadoCuenta"
513541;"Error API S2";"Respuesta sin estadoCuenta"
514597;"Error API S2";"Respuesta sin estadoCuenta"
516926;"Error API S2";"Respuesta sin estadoCuenta"
521410;"Error API S2";"Respuesta sin estadoCuenta"
553699;"Error API S2";"Respuesta sin estadoCuenta"
554780;"Error API S2";"Respuesta sin estadoCuenta"
556755;"Error API S2";"Respuesta sin estadoCuenta"
573348;"Error API S2";"Respuesta sin estadoCuenta"
580835;"Error API S2";"Respuesta sin estadoCuenta"
584821;"Error API S2";"Respuesta sin estadoCuenta"
591973;"Error API S2";"Respuesta sin estadoCuenta"
593303;"Error API S2";"Respuesta sin estadoCuenta"
594524;"Error API S2";"Respuesta sin estadoCuenta"
602712;"Error API S2";"Respuesta sin estadoCuenta"
604288;"Error API S2";"Respuesta sin estadoCuenta"
607424;"Error API S2";"Respuesta sin estadoCuenta"
615691;"Error API S2";"Respuesta sin estadoCuenta"
623888;"Error API S2";"Respuesta sin estadoCuenta"
624888;"Error API S2";"Respuesta sin estadoCuenta"
629797;"Error API S2";"Respuesta sin estadoCuenta"
633002;"Error API S2";"Respuesta sin estadoCuenta"
639589;"Error API S2";"Respuesta sin estadoCuenta"
660990;"Error API S2";"Respuesta sin estadoCuenta"
661435;"Error API S2";"Respuesta sin estadoCuenta"
666707;"Error API S2";"Respuesta sin estadoCuenta"
673817;"Error API S2";"Respuesta sin estadoCuenta"
682170;"Error API S2";"Respuesta sin estadoCuenta"
687105;"Error API S2";"Respuesta sin estadoCuenta"
692790;"Error API S2";"Respuesta sin estadoCuenta"
694740;"Error API S2";"Respuesta sin estadoCuenta"
704844;"Error API S2";"Respuesta sin estadoCuenta"
707162;"Error API S2";"Respuesta sin estadoCuenta"
721375;"Error API S2";"Respuesta sin estadoCuenta"
727083;"Error API S2";"Respuesta sin estadoCuenta"
727505;"Error API S2";"Respuesta sin estadoCuenta"
727775;"Error API S2";"Respuesta sin estadoCuenta"
740083;"Error API S2";"Respuesta sin estadoCuenta"
749797;"Error API S2";"Respuesta sin estadoCuenta"
