id_credito;tipo_error;detalle
100201;"Error API S2";"Respuesta sin estadoCuenta"
109250;"Error API S2";"Respuesta sin estadoCuenta"
138364;"Error API S2";"Respuesta sin estadoCuenta"
158138;"Error API S2";"Respuesta sin estadoCuenta"
169339;"Error API S2";"Respuesta sin estadoCuenta"
211578;"Error API S2";"Respuesta sin estadoCuenta"
270140;"Error API S2";"Respuesta sin estadoCuenta"
274571;"Error API S2";"Respuesta sin estadoCuenta"
281858;"Error API S2";"Respuesta sin estadoCuenta"
317239;"Error API S2";"Respuesta sin estadoCuenta"
325696;"Error API S2";"Respuesta sin estadoCuenta"
327608;"Error API S2";"Respuesta sin estadoCuenta"
338328;"Error API S2";"Respuesta sin estadoCuenta"
377611;"Error API S2";"Respuesta sin estadoCuenta"
388866;"Error API S2";"Respuesta sin estadoCuenta"
389751;"Error API S2";"Respuesta sin estadoCuenta"
409442;"Error API S2";"Respuesta sin estadoCuenta"
410048;"Error API S2";"Respuesta sin estadoCuenta"
415397;"Error API S2";"Respuesta sin estadoCuenta"
419559;"Error API S2";"Respuesta sin estadoCuenta"
421237;"Error API S2";"Respuesta sin estadoCuenta"
429065;"Error API S2";"Respuesta sin estadoCuenta"
429683;"Error API S2";"Respuesta sin estadoCuenta"
431708;"Error API S2";"Respuesta sin estadoCuenta"
433472;"Error API S2";"Respuesta sin estadoCuenta"
435999;"Error API S2";"Respuesta sin estadoCuenta"
440523;"Error API S2";"Respuesta sin estadoCuenta"
442564;"Error API S2";"Respuesta sin estadoCuenta"
447046;"Error API S2";"Respuesta sin estadoCuenta"
451504;"Error API S2";"Respuesta sin estadoCuenta"
455526;"Error API S2";"Respuesta sin estadoCuenta"
477679;"Error API S2";"Respuesta sin estadoCuenta"
523758;"Error API S2";"Respuesta sin estadoCuenta"
529510;"Error API S2";"Respuesta sin estadoCuenta"
569872;"Error API S2";"Respuesta sin estadoCuenta"
572602;"Error API S2";"Respuesta sin estadoCuenta"
577650;"Error API S2";"Respuesta sin estadoCuenta"
578469;"Error API S2";"Respuesta sin estadoCuenta"
581854;"Error API S2";"Respuesta sin estadoCuenta"
589420;"Error API S2";"Respuesta sin estadoCuenta"
595122;"Error API S2";"Respuesta sin estadoCuenta"
598188;"Error API S2";"Respuesta sin estadoCuenta"
614550;"Error API S2";"Respuesta sin estadoCuenta"
616363;"Error API S2";"Respuesta sin estadoCuenta"
616568;"Error API S2";"Respuesta sin estadoCuenta"
623073;"Error API S2";"Respuesta sin estadoCuenta"
628225;"Error API S2";"Respuesta sin estadoCuenta"
631373;"Error API S2";"Respuesta sin estadoCuenta"
636736;"Error API S2";"Respuesta sin estadoCuenta"
639418;"Error API S2";"Respuesta sin estadoCuenta"
639684;"Error API S2";"Respuesta sin estadoCuenta"
653731;"Error API S2";"Respuesta sin estadoCuenta"
654371;"Error API S2";"Respuesta sin estadoCuenta"
665681;"Error API S2";"Respuesta sin estadoCuenta"
674058;"Error API S2";"Respuesta sin estadoCuenta"
674100;"Error API S2";"Respuesta sin estadoCuenta"
674848;"Error API S2";"Respuesta sin estadoCuenta"
675176;"Error API S2";"Respuesta sin estadoCuenta"
688512;"Error API S2";"Respuesta sin estadoCuenta"
693179;"Error API S2";"Respuesta sin estadoCuenta"
707069;"Error API S2";"Respuesta sin estadoCuenta"
707248;"Error API S2";"Respuesta sin estadoCuenta"
718841;"Error API S2";"Respuesta sin estadoCuenta"
720127;"Error API S2";"Respuesta sin estadoCuenta"
728252;"Error API S2";"Respuesta sin estadoCuenta"
737585;"Error API S2";"Respuesta sin estadoCuenta"
744079;"Error API S2";"Respuesta sin estadoCuenta"
761714;"Error API S2";"Respuesta sin estadoCuenta"
763072;"Error API S2";"Respuesta sin estadoCuenta"
767347;"Error API S2";"Respuesta sin estadoCuenta"
767435;"Error API S2";"Respuesta sin estadoCuenta"
792520;"Error API S2";"Respuesta sin estadoCuenta"
804914;"Error API S2";"Respuesta sin estadoCuenta"
806583;"Error API S2";"Respuesta sin estadoCuenta"
822618;"Error API S2";"Respuesta sin estadoCuenta"
825128;"Error API S2";"Respuesta sin estadoCuenta"
827270;"Error API S2";"Respuesta sin estadoCuenta"
829775;"Error API S2";"Respuesta sin estadoCuenta"
845354;"Error API S2";"Respuesta sin estadoCuenta"
847805;"Error API S2";"Respuesta sin estadoCuenta"
862684;"Error API S2";"Respuesta sin estadoCuenta"
865087;"Error API S2";"Respuesta sin estadoCuenta"
870391;"Error API S2";"Respuesta sin estadoCuenta"
