id_gastos_cobranza;Id_credito;parcialidad_actual;parcialidad_calculada;estatus;detalle;semana;periodo_inicio;periodo_fin;monto_local;nota_fecha_s2;nota_monto_s2;nota_indice_s2;cuota_id_cargo;cuota_fecha_vencimiento;cuota_concepto;metodo_calculo
297286;1848152;0;1;ok;"Requiere ajuste de parcialidad";"Semana 12-2026";2026-03-16;2026-03-22;250.00;2026-03-23;250.00;0;1;2026-03-16;"CUOTA SEMANAL 1 DE 104";cuota_en_periodo_gdc
322761;1848155;1;2;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;2;2026-03-23;"CUOTA SEMANAL 2 DE 78";cuota_en_periodo_gdc
340322;1848155;2;3;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;3;2026-03-30;"CUOTA SEMANAL 3 DE 78";cuota_en_periodo_gdc
356691;1848155;2;4;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 15-2026";2026-04-06;2026-04-12;250.00;;;;4;2026-04-06;"CUOTA SEMANAL 4 DE 78";cuota_en_periodo_gdc
374146;1848155;4;5;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;5;2026-04-13;"CUOTA SEMANAL 5 DE 78";cuota_en_periodo_gdc
391420;1848155;5;6;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;6;2026-04-20;"CUOTA SEMANAL 6 DE 78";cuota_en_periodo_gdc
409114;1848155;6;7;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;7;2026-04-27;"CUOTA SEMANAL 7 DE 78";cuota_en_periodo_gdc
409115;1848209;1;7;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;7;2026-04-27;"CUOTA SEMANAL 7 DE 52";cuota_en_periodo_gdc
297287;1848220;0;1;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;1;2026-03-16;"CUOTA SEMANAL 1 DE 104";cuota_en_periodo_gdc
297288;1848368;0;1;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;1;2026-03-16;"CUOTA SEMANAL 1 DE 78";cuota_en_periodo_gdc
